Table S1. List of candidate imprinted genes identified in this study for Arabidopsis. Genes are sorted with decreasing probability of being imprinted in Gehring, Hsieh, and Pignatta datasets. Wolff is listed as additional information.																												
	Gehring						Hsieh						Pignatta						Combined (Gehring, Hsieh, Pignatta)				Wolff					
AT3G18160	3.05	0.00059422	0.010482487	MEG	90.28	642.5	NA	NA	NA	NA	NA	3896	0.01	0.99638848	1	MEG	0.00	7742	0.001453272	4093.5	NA	NA	-0.18	0.76129707	0.811353835	PEG	3.21	12973
AT3G49530	0.48	0.061753137	0.365206378	MEG	18.57	1918	0.19	0.273128918	0.811631159	MEG	3.49	2620.5	-0.12	0.89776084	1	PEG	1.34	7742	0.059151234	4093.5	AT3G49530.1	NAC domain containing protein 62	2.51	7.32E-09	4.44E-08	MEG	86.34	2277
AT4G10730	-1.14	0.000593482	0.010482487	PEG	56.39	642.5	NA	NA	NA	NA	NA	3896	-1.16	0.093624625	1	PEG	57.38	7742	0.998873192	4093.5	AT4G10730.1	Protein kinase superfamily protein	-0.30	0.344348303	0.426303693	PEG	8.04	11168
AT1G60430	0.55	0.167625036	0.598086682	MEG	23.14	3177	0.72	0.097991624	0.558151122	MEG	33.97	1367.5	0.80	0.093300062	1	MEG	38.79	7742	0.008850267	4095.5	AT1G60430.1	actin-related protein C3	2.44	3.07E-10	2.11E-09	MEG	85.58	2009
AT1G43980	-2.59	0.000655324	0.011453525	PEG	87.02	649	NA	NA	NA	NA	NA	3896	-0.98	0.618452449	1	PEG	49.19	7742	0.946236856	4095.7	AT1G43980.1	Tetratricopeptide repeat (TPR)-like superfamily protein	-1.26	0.266198646	0.34824362	PEG	61.37	10568.5
AT2G14860	1.27	0.026106531	0.217186059	MEG	61.69	1363.5	-0.65	0.351775673	0.861148616	PEG	29.69	3183	1.61	0.139632385	1	MEG	72.27	7742	0.025588802	4096.2	AT2G14860.1	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein	-0.07	0.867622307	0.898490452	PEG	0.43	13351
AT1G04550	-0.69	0.204010231	0.646566155	PEG	32.44	3579	-0.58	0.052369722	0.420809161	PEG	24.87	968	-0.34	0.441254119	1	PEG	10.14	7742	0.992934932	4096.3	AT1G04550.1	AUX/IAA transcriptional regulator family protein	0.95	0.074897112	0.124074702	MEG	47.27	8346
AT1G80610	2.51	0.00066882	0.011653488	MEG	86.32	651	NA	NA	NA	NA	NA	3896	1.26	0.133181649	1	MEG	61.40	7742	0.000260818	4096.3	AT1G80610.1		0.45	0.523661064	0.602805143	MEG	16.67	12010.5
AT3G25590	3.46	0.020895343	0.18531343	MEG	92.29	1279	NA	NA	NA	NA	NA	3896	NA	NA	NA	NA	NA	7114.5	NA	4096.5	NA	NA	1.96	0.067594006	0.113740739	MEG	79.33	8216.5
AT5G08340	4.27	0.000676583	0.011722414	MEG	94.79	654.5	NA	NA	NA	NA	NA	3896	1.49	0.479050293	1	MEG	68.97	7742	0.000844382	4097.5	AT5G08340.1	Nucleotidylyl transferase superfamily protein	4.36	0.059864362	0.102728642	MEG	95.00	8057
AT4G18130	2.06	0.000714293	0.01229472	MEG	80.91	659	NA	NA	NA	NA	NA	3896	0.29	0.822399936	1	MEG	7.86	7742	0.001443038	4099.0	AT4G18130.1	phytochrome E	-0.08	0.812798545	0.853702508	PEG	0.65	13163
AT5G27920	0.45	0.142031448	0.552680175	MEG	16.81	2915	0.36	0.13555512	0.645644834	MEG	11.56	1640	0.50	0.220153755	1	MEG	20.08	7742	0.01959896	4099.0	AT5G27920.1	F-box family protein	NA	NA	NA	NA	NA	6913
AT1G44780	-1.35	0.000746466	0.012809633	PEG	64.51	661	NA	NA	NA	NA	NA	3896	-0.81	0.124972258	1	PEG	39.42	7742	0.997983116	4099.7	AT1G44780.1		0.25	0.228004784	0.306951717	MEG	6.00	10270
AT4G19010	-2.56	0.000748983	0.012833403	PEG	86.75	662	NA	NA	NA	NA	NA	3896	1.87	0.305313485	1	MEG	77.74	7742	0.439477304	4100.0	AT4G19010.1	AMP-dependent synthetase and ligase family protein	-0.08	0.913379573	0.933845003	PEG	0.66	13522.5
AT2G44870	-0.52	0.047796365	0.318245321	PEG	21.42	1703	0.31	0.307129581	0.839599903	MEG	8.98	2856	-0.16	0.648015006	1	PEG	2.51	7742	0.598853197	4100.3	NA	NA	-0.19	0.664359337	0.72992945	PEG	3.54	12584
AT5G47240	4.22	0.000772012	0.013128831	MEG	94.68	667	NA	NA	NA	NA	NA	3896	2.15	0.445886111	1	MEG	82.16	7742	0.000891597	4101.7	AT5G47240.1	nudix hydrolase homolog 8	9.36	1.01E-24	1.88E-23	MEG	98.87	748
AT3G29770	-0.23	0.247543036	0.699821759	PEG	5.13	4012	0.95	0.011014278	0.155476908	MEG	47.32	551.5	-0.12	0.759058964	1	PEG	1.34	7742	0.070946854	4101.8	AT3G29770.1	methyl esterase 11	0.78	0.529865907	0.608541316	MEG	37.87	12037.5
AT3G45780	0.80	0.182333999	0.621645492	MEG	38.79	3326.5	1.16	0.084077424	0.527800333	MEG	57.20	1240	0.05	0.968580077	1	MEG	0.23	7742	0.050237919	4102.8	AT3G45780.1	phototropin 1	3.44	0.181492311	0.255660998	MEG	92.21	9815
AT4G08930	4.21	0.00080136	0.013563353	MEG	94.66	670.5	NA	NA	NA	NA	NA	3896	0.90	0.50681825	1	MEG	44.80	7742	0.001035169	4102.8	AT4G08930.1	APR-like 6	NA	NA	NA	NA	NA	6913
AT5G59120	-0.48	0.024278516	0.205976966	PEG	18.87	1337	-0.30	0.35944184	0.865987621	PEG	8.28	3229.5	-0.22	0.629196539	1	PEG	4.42	7742	0.978046408	4102.8	AT5G59120.1	subtilase 4.13	NA	NA	NA	NA	NA	6913
AT3G06125	3.42	0.00081448	0.013747989	MEG	92.11	672	NA	NA	NA	NA	NA	3896	1.90	0.155878736	1	MEG	78.26	7742	0.000360501	4103.3	NA	NA	3.75	1.99E-18	2.56E-17	MEG	93.37	1076
AT5G47770	-0.26	0.267853252	0.720649772	PEG	6.34	4216	0.89	0.001800551	0.039808459	MEG	44.38	352.5	0.30	0.505175934	1	MEG	8.40	7742	0.009046652	4103.5	AT5G47770.1	farnesyl diphosphate synthase 1	1.66	0.00059104	0.001729831	MEG	73.26	4724
AT1G72645	2.11	0.000832199	0.014026194	MEG	81.61	673	NA	NA	NA	NA	NA	3896	1.16	0.424923171	1	MEG	57.17	7742	0.000913541	4103.7	AT1G72645.1		NA	NA	NA	NA	NA	6913
AT3G18430	-0.27	0.25031367	0.704138827	PEG	6.82	4032	-0.63	0.010119125	0.146830959	PEG	28.11	537	-0.04	0.91454773	1	PEG	0.20	7742	0.959503395	4103.7	NA	NA	2.10	0.007535629	0.016982494	MEG	81.55	6135
AT5G59600	-2.37	0.000866403	0.014537887	PEG	84.92	676	NA	NA	NA	NA	NA	3896	0.36	0.798316148	1	MEG	11.28	7742	0.765585114	4104.7	AT5G59600.1	Tetratricopeptide repeat (TPR)-like superfamily protein	NA	NA	NA	NA	NA	6913
AT3G51730	-0.34	0.241124988	0.690851411	PEG	10.23	3956.5	0.93	0.016456624	0.206822601	MEG	46.31	620	-0.06	0.893844275	1	PEG	0.42	7742	0.087092889	4106.2	AT3G51730.1	saposin B domain-containing protein	NA	NA	NA	NA	NA	6913
AT1G77630	1.38	0.010676635	0.113288185	MEG	65.57	1069	-0.50	0.400909142	0.89043184	PEG	20.04	3510	0.06	0.91454045	1	MEG	0.31	7742	0.052114853	4107.0	AT1G77630.1	Peptidoglycan-binding LysM domain-containing protein	0.85	0.002913136	0.007293919	MEG	42.14	5522
AT1G20970	0.51	0.195645696	0.63697162	MEG	20.73	3481	0.39	0.066560666	0.472867961	MEG	12.94	1098.5	0.20	0.675866093	1	MEG	3.74	7742	0.03412274	4107.2	AT1G20970.1		2.44	1.24E-10	8.86E-10	MEG	85.63	1930
AT1G73310	2.19	0.000972774	0.016094382	MEG	82.75	685	NA	NA	NA	NA	NA	3896	-0.56	0.639312743	1	PEG	23.90	7742	0.002982714	4107.7	AT1G73310.1	serine carboxypeptidase-like 4	0.08	0.953446308	0.965386207	MEG	0.63	13655
AT3G46920	-0.56	0.030825614	0.240975151	PEG	23.98	1451	-0.19	0.344824154	0.85637496	PEG	3.56	3133.5	-0.20	0.572960223	1	PEG	3.97	7742	0.982199463	4108.8	AT3G46920.1	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain	1.45	0.007503509	0.016915622	MEG	67.64	6133
AT3G03890	0.48	0.113261968	0.499905491	MEG	18.90	2563	0.40	0.192417858	0.741503437	MEG	14.06	2022	-0.16	0.761773862	1	PEG	2.37	7742	0.077214641	4109.0	NA	NA	0.61	0.322161436	0.404523115	MEG	27.37	11011
AT5G56750	1.72	0.001015609	0.016715144	MEG	74.63	689	NA	NA	NA	NA	NA	3896	0.65	0.698604396	1	MEG	29.49	7742	0.001709425	4109.0	AT5G56750.1	N-MYC downregulated-like 1	-0.04	0.952954243	0.965029325	PEG	0.19	13653
AT3G08030	-0.50	0.018252067	0.168318315	PEG	20.29	1230.5	-0.16	0.377294878	0.875297031	PEG	2.48	3356	-0.34	0.423487756	1	PEG	10.60	7742	0.988719236	4109.5	NA	NA	NA	NA	NA	NA	NA	6913
AT4G02940	0.38	0.237941819	0.686324529	MEG	12.35	3928.5	0.78	0.020059385	0.236822314	MEG	37.59	659	0.66	0.331510633	1	MEG	30.13	7742	0.009077292	4109.8	AT4G02940.1	oxidoreductase, 2OG-Fe(II) oxygenase family protein	NA	NA	NA	NA	NA	6913
AT1G80330	-0.87	0.004042873	0.051817298	PEG	43.05	884.5	-0.17	0.432960971	0.903301727	PEG	2.93	3703.5	-0.08	0.916650753	1	PEG	0.67	7742	0.94371185	4110.0	AT1G80330.1	gibberellin 3-oxidase 4	-3.50	6.08E-12	4.93E-11	PEG	92.44	1703
AT3G13490	-0.30	0.212891888	0.6560273	PEG	8.16	3680.5	-0.61	0.04562019	0.391058879	PEG	27.19	909	-0.21	0.583798833	1	PEG	4.03	7742	0.98702675	4110.5	NA	NA	0.28	0.289946263	0.372495542	MEG	7.39	10762
AT5G66720	0.64	0.195837288	0.637046847	MEG	28.87	3486	-0.75	0.067506696	0.475024691	PEG	35.90	1106	0.19	0.881786291	1	MEG	3.36	7742	0.384744112	4111.3	AT5G66720.1	Protein phosphatase 2C family protein	1.19	2.58E-06	1.14E-05	MEG	58.56	3119
AT3G14000	-0.29	0.216602024	0.660048616	PEG	7.53	3724.5	-0.48	0.040853377	0.364814269	PEG	18.99	872.5	-0.24	0.616640958	1	PEG	5.32	7742	0.985315107	4113.0	NA	NA	1.19	0.097986073	0.1548115	MEG	58.69	8751
AT3G52050	4.13	0.001147198	0.018563	MEG	94.46	701	NA	NA	NA	NA	NA	3896	0.15	0.931551278	1	MEG	2.14	7742	0.002465331	4113.0	AT3G52050.1	5'-3' exonuclease family protein	2.29	3.04E-05	0.000113424	MEG	83.95	3701
AT2G24240	4.11	0.001207868	0.019406292	MEG	94.42	706	NA	NA	NA	NA	NA	3896	0.48	0.742760812	1	MEG	18.93	7742	0.002108896	4114.7	AT2G24240.1	BTB/POZ domain with WD40/YVTN repeat-like protein	NA	NA	NA	NA	NA	6913
AT4G37020	4.11	0.001224365	0.019643518	MEG	94.41	707	NA	NA	NA	NA	NA	3896	1.02	0.593561721	1	MEG	51.03	7742	0.001746572	4115.0	AT4G37020.1		NA	NA	NA	NA	NA	6913
AT5G04510	1.27	0.001295695	0.020584135	MEG	61.64	714	NA	NA	NA	NA	NA	3896	1.19	0.189435071	1	MEG	58.46	7742	0.0006565	4117.3	AT5G04510.1	3'-phosphoinositide-dependent protein kinase 1	1.53	0.004485563	0.010677926	MEG	69.99	5808
AT3G03460	-0.43	0.090528561	0.44885741	PEG	15.43	2286.5	-0.40	0.2320636	0.778072105	PEG	13.68	2324	-0.01	0.985554192	1	PEG	0.01	7742	0.945358861	4117.5	NA	NA	-0.36	0.232857929	0.312238748	PEG	11.45	10310.5
AT5G56850	4.23	0.001304135	0.020660344	MEG	94.71	716	NA	NA	NA	NA	NA	3896	-0.56	0.712902267	1	PEG	24.18	7742	0.003682788	4118.0	AT5G56850.1		0.62	0.507937735	0.587038963	MEG	27.55	11963
AT4G36490	1.88	0.024966426	0.210553283	MEG	77.94	1344.5	NA	NA	NA	NA	NA	3896	NA	NA	NA	NA	NA	7114.5	NA	4118.3	AT4G36490.1	SEC14-like 12	NA	NA	NA	NA	NA	6913
AT3G47360	-1.32	0.266927765	0.719966123	PEG	63.42	4206	3.67	0.003401472	0.064961454	MEG	93.09	408	-1.12	0.835224179	1	PEG	55.84	7742	0.028311977	4118.7	AT3G47360.1	hydroxysteroid dehydrogenase 3	0.96	0.134849123	0.201276473	MEG	47.89	9263
AT2G21830	4.14	0.001353164	0.021347624	MEG	94.49	719	NA	NA	NA	NA	NA	3896	1.82	0.13889489	1	MEG	76.85	7742	0.000515242	4119.0	AT2G21830.1	Cysteine/Histidine-rich C1 domain family protein	1.99	1.51E-07	7.93E-07	MEG	79.90	2627
AT3G61580	1.24	0.001358222	0.021397658	MEG	60.78	720	NA	NA	NA	NA	NA	3896	1.39	0.106057125	1	MEG	65.84	7742	0.000404477	4119.3	AT3G61580.1	Fatty acid/sphingolipid desaturase	NA	NA	NA	NA	NA	6913
AT1G30000	-0.48	0.234553303	0.681490296	PEG	18.43	3904	1.79	0.025591549	0.279920686	MEG	76.27	713	-0.15	0.822448636	1	PEG	2.33	7742	0.123553532	4119.7	AT1G30000.1	alpha-mannosidase 3	1.21	0.007860328	0.01761376	MEG	59.46	6170
AT3G25250	1.72	0.001378014	0.021679351	MEG	74.66	721	NA	NA	NA	NA	NA	3896	1.22	0.186808938	1	MEG	59.91	7742	0.000685464	4119.7	NA	NA	5.70	0.002560724	0.00649506	MEG	97.02	5451
AT2G37840	-0.67	0.084116069	0.430952379	PEG	30.88	2214	0.51	0.242186754	0.785222463	MEG	20.52	2403.5	-0.09	0.912403663	1	PEG	0.76	7742	0.478238304	4119.8	NA	NA	2.41	4.97E-06	2.11E-05	MEG	85.35	3253
AT5G01750	1.66	0.001387528	0.021768638	MEG	73.36	723	NA	NA	NA	NA	NA	3896	0.21	0.83338377	1	MEG	4.09	7742	0.002644784	4120.3	AT5G01750.1	Protein of unknown function (DUF567)	1.10	0.00869161	0.019230309	MEG	54.78	6249
AT4G17718	-0.73	0.05467626	0.343216834	PEG	34.55	1807	-0.47	0.301942623	0.835785761	PEG	18.16	2815	-0.11	0.8586305	1	PEG	1.21	7742	0.959188493	4121.3	AT4G17718.1	Defensin-like (DEFL) family protein	NA	NA	NA	NA	NA	6913
AT1G49190	-1.62	0.001451454	0.022614697	PEG	72.31	728	NA	NA	NA	NA	NA	3896	-1.07	0.339642447	1	PEG	53.48	7742	0.984574493	4122.0	AT1G49190.1	response regulator 19	-7.14	1.13E-26	2.27E-25	PEG	98.08	689
AT3G15020	1.15	0.001453417	0.022614697	MEG	56.95	728	NA	NA	NA	NA	NA	3896	-0.21	0.699121244	1	PEG	4.22	7742	0.004092034	4122.0	NA	NA	1.48	0.014567396	0.030187173	MEG	68.57	6671.5
AT2G37220	0.29	0.204771036	0.647443995	MEG	7.89	3586.5	-0.47	0.06019355	0.451422656	PEG	17.96	1039	-0.06	0.895674147	1	PEG	0.42	7742	0.445158202	4122.5	NA	NA	-0.75	0.026897595	0.051472132	PEG	36.15	7225
AT2G40020	0.37	0.271129253	0.723445666	MEG	12.14	4253	0.94	0.002312697	0.048183254	MEG	47.13	374	0.21	0.804435409	1	MEG	4.20	7742	0.003621753	4123.0	NA	NA	1.62	0.000150895	0.000491931	MEG	72.38	4240.5
AT2G03690	0.75	0.187473485	0.628773429	MEG	35.91	3381	0.64	0.084712581	0.529453683	MEG	28.86	1246.5	-0.08	0.893401287	1	PEG	0.67	7742	0.056792671	4123.2	AT2G03690.1	coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein	0.91	0.119083839	0.181427345	MEG	45.42	9074.5
AT3G20530	2.28	0.001540825	0.023811413	MEG	83.88	734	NA	NA	NA	NA	NA	3896	-0.12	0.951146674	1	PEG	1.49	7742	0.003561089	4124.0	NA	NA	NA	NA	NA	NA	NA	6913
AT4G29380	-0.40	0.234748619	0.681878312	PEG	13.58	3905.5	0.82	0.027336239	0.292990337	MEG	40.28	727	-0.10	0.81831169	1	PEG	0.90	7742	0.129470612	4124.8	AT4G29380.1	protein kinase family protein / WD-40 repeat family protein	0.78	0.185687089	0.260587667	MEG	37.93	9851.5
AT1G52310	1.93	0.00156771	0.024128275	MEG	78.78	737	NA	NA	NA	NA	NA	3896	0.12	0.817130478	1	MEG	1.45	7742	0.00289716	4125.0	AT1G52310.1	protein kinase family protein / C-type lectin domain-containing protein	1.96	3.03E-12	2.51E-11	MEG	79.37	1673
AT4G04810	3.08	0.001622719	0.024873644	MEG	90.46	740	NA	NA	NA	NA	NA	3896	-0.56	0.95488263	1	PEG	24.06	7742	0.003716556	4126.0	AT4G04810.1	methionine sulfoxide reductase B4	2.18	0.040961714	0.074137538	MEG	82.61	7639
AT1G66210	1.91	0.0016365	0.025017271	MEG	78.55	741.5	NA	NA	NA	NA	NA	3896	-0.05	0.946926477	1	PEG	0.27	7742	0.003769742	4126.5	AT1G66210.1	Subtilisin-like serine endopeptidase family protein	-6.84	2.81E-15	2.97E-14	PEG	97.90	1309
AT5G59100	-1.67	0.001651308	0.025209671	PEG	73.51	743	NA	NA	NA	NA	NA	3896	0.19	0.908543322	1	MEG	3.65	7742	0.812423098	4127.0	AT5G59100.1	Subtilisin-like serine endopeptidase family protein	NA	NA	NA	NA	NA	6913
AT5G61330	0.45	0.062626441	0.368068247	MEG	16.98	1930	0.29	0.285483488	0.820844037	MEG	7.74	2709	-0.10	0.801022135	1	PEG	1.01	7742	0.065535628	4127.0	AT5G61330.1	rRNA processing protein-related	-0.01	0.986352537	0.990076244	PEG	0.01	13773
AT2G42700	4.20	0.001655994	0.025247225	MEG	94.64	744	NA	NA	NA	NA	NA	3896	0.65	0.726240355	1	MEG	29.86	7742	0.00273889	4127.3	NA	NA	0.41	0.300727321	0.38374226	MEG	14.17	10835.5
AT5G41260	0.37	0.188499186	0.629055071	MEG	11.85	3396	0.54	0.084731615	0.529453683	MEG	22.80	1246.5	0.24	0.574363815	1	MEG	5.60	7742	0.035196013	4128.2	AT5G41260.1	Protein kinase protein with tetratricopeptide repeat domain	0.22	0.619167179	0.690260072	MEG	4.77	12402
AT4G32480	4.12	0.001711763	0.025958759	MEG	94.43	747.5	NA	NA	NA	NA	NA	3896	2.18	0.127089055	1	MEG	82.57	7742	0.00058843	4128.5	AT4G32480.1	Protein of unknown function (DUF506) 	7.39	4.83E-08	2.69E-07	MEG	98.20	2487
AT4G00840	-1.95	0.001719265	0.026036877	PEG	79.18	749	NA	NA	NA	NA	NA	3896	0.44	0.524069548	1	MEG	16.52	7742	0.612670423	4129.0	AT4G00840.1	DHHC-type zinc finger family protein	NA	NA	NA	NA	NA	6913
AT4G07400	-0.49	0.26318614	0.718700646	PEG	19.58	4162	-0.63	0.00691579	0.111569021	PEG	28.47	483	-0.52	0.348619504	1	PEG	21.43	7742	0.995071709	4129.0	AT4G07400.1	VIER F-box proteine 3	1.04	0.032891842	0.061346635	MEG	52.08	7413
AT3G44620	0.38	0.171907815	0.604394245	MEG	12.76	3227.5	-1.16	0.10416856	0.572412849	PEG	57.17	1418	0.05	0.922238137	1	MEG	0.23	7742	0.363148706	4129.2	AT3G44620.1	"protein tyrosine phosphatases;protein tyrosine phosphatases"	0.20	0.311793083	0.394474743	MEG	3.88	10927.5
AT1G01770	2.18	0.001748427	0.026405933	MEG	82.61	752	NA	NA	NA	NA	NA	3896	-0.36	0.643785447	1	PEG	11.26	7742	0.00499777	4130.0	AT1G01770.1		0.92	0.454218931	0.5351995	MEG	45.62	11733.5
AT2G26730	4.02	0.001752946	0.026405933	MEG	94.18	752	NA	NA	NA	NA	NA	3896	0.07	0.963011343	1	MEG	0.56	7742	0.003701361	4130.0	AT2G26730.1	Leucine-rich repeat protein kinase family protein	-0.98	0.166335835	0.238096852	PEG	48.74	9659.5
AT1G44224	-1.70	0.001767336	0.026517053	PEG	74.18	756	NA	NA	NA	NA	NA	3896	-0.76	0.470982977	1	PEG	36.56	7742	0.969614253	4131.3	AT1G44224.1	ECA1 gametogenesis related family protein	NA	NA	NA	NA	NA	6913
AT5G07240	4.03	0.001775219	0.026565058	MEG	94.21	758	NA	NA	NA	NA	NA	3896	-1.35	0.371898072	1	PEG	64.60	7742	0.005948624	4132.0	AT5G07240.1	IQ-domain 24	3.45	5.53E-05	0.000197066	MEG	92.24	3879
AT3G59290	1.32	0.006017897	0.07177814	MEG	63.52	951	-0.29	0.427942815	0.903301727	PEG	7.83	3703.5	-0.35	0.684663953	1	PEG	11.11	7742	0.044129189	4132.2	AT3G59290.1	ENTH/VHS family protein	1.59	0.004061766	0.009778509	MEG	71.56	5742.5
AT3G12250	4.01	0.001799461	0.026821661	MEG	94.16	760.5	NA	NA	NA	NA	NA	3896	-0.81	0.529237519	1	PEG	39.63	7742	0.005505402	4132.8	NA	NA	NA	NA	NA	NA	NA	6913
AT3G05390	4.33	0.001811123	0.026889482	MEG	94.94	764	NA	NA	NA	NA	NA	3896	2.07	0.272763322	1	MEG	81.00	7742	0.001234927	4134.0	NA	NA	6.33	0.000191993	0.000615606	MEG	97.56	4312
AT3G60690	4.15	0.001872192	0.027687453	MEG	94.51	767	NA	NA	NA	NA	NA	3896	1.89	0.178421533	1	MEG	78.20	7742	0.000867713	4135.0	AT3G60690.1	SAUR-like auxin-responsive protein family 	NA	NA	NA	NA	NA	6913
AT1G47960	-0.61	0.001929016	0.028124451	PEG	26.89	775.5	-0.32	0.456484696	0.914071584	PEG	9.06	3888.5	-0.31	0.508060468	1	PEG	8.66	7742	0.981262493	4135.3	AT1G47960.1	cell wall / vacuolar inhibitor of fructosidase 1	-0.50	0.332909603	0.415153619	PEG	20.23	11087
AT4G18300	-0.71	0.169626159	0.601363528	PEG	33.64	3198.5	0.54	0.110993636	0.589143333	MEG	22.29	1468	0.43	0.617735415	1	MEG	15.83	7742	0.216273906	4136.2	AT4G18300.1	Trimeric LpxA-like enzyme	0.41	0.355911945	0.437563449	MEG	14.31	11245
AT2G34010	1.26	0.001911733	0.028089107	MEG	61.34	771.5	NA	NA	NA	NA	NA	3896	0.29	0.711226092	1	MEG	7.82	7742	0.003054782	4136.5	NA	NA	3.99	0.103983382	0.16257766	MEG	94.10	8843
AT1G77400	0.65	0.574431643	0.890840165	MEG	29.90	7308.5	NA	NA	NA	NA	NA	3896	-2.99	0.079850095	0.940552149	PEG	89.95	1208	0.630986213	4137.5	AT1G77400.1		3.36	0.209731267	0.287473432	MEG	91.87	10087
AT3G17170	-1.54	0.00192769	0.028124451	PEG	70.43	775.5	NA	NA	NA	NA	NA	3896	-0.40	0.80501101	1	PEG	13.58	7742	0.904913392	4137.8	NA	NA	NA	NA	NA	NA	NA	6913
AT5G59820	1.43	0.001927365	0.028124451	MEG	67.13	775.5	NA	NA	NA	NA	NA	3896	0.82	0.556151026	1	MEG	40.24	7742	0.002471979	4137.8	AT5G59820.1	C2H2-type zinc finger family protein	-0.04	0.951691111	0.963891385	PEG	0.16	13650
AT3G59430	-0.39	0.232321362	0.67936563	PEG	13.41	3877.5	0.59	0.03336384	0.326803043	MEG	25.87	796.5	-0.09	0.911727651	1	PEG	0.79	7742	0.140142783	4138.7	AT3G59430.1		0.37	0.387316577	0.469369707	MEG	12.26	11409
AT4G02990	-0.26	0.249268688	0.702124343	PEG	6.34	4026.5	-0.54	0.019136851	0.229871131	PEG	22.41	649	-0.26	0.551405282	1	PEG	6.31	7742	0.988108071	4139.2	AT4G02990.1	Mitochondrial transcription termination factor family protein	NA	NA	NA	NA	NA	6913
AT2G33050	3.99	0.001940372	0.028181351	MEG	94.10	780	NA	NA	NA	NA	NA	3896	-2.18	0.294387961	1	PEG	82.57	7742	0.006699502	4139.3	NA	NA	4.68	0.036498968	0.067034369	MEG	95.63	7528
AT2G39350	-0.43	0.604441977	0.901181039	PEG	15.71	7607.5	NA	NA	NA	NA	NA	3896	2.34	0.036012963	0.559833727	MEG	84.58	915.5	0.067558004	4139.7	NA	NA	-0.12	0.718632781	0.776063768	PEG	1.52	12802.5
AT5G48840	-0.62	0.157492467	0.581522479	PEG	27.79	3071.5	-0.57	0.130744895	0.634348833	PEG	24.53	1605.5	-0.39	0.721594688	1	PEG	13.01	7742	0.977164272	4139.7	AT5G48840.1	homolog of bacterial PANC	6.10	0.000541332	0.001593795	MEG	97.38	4696
AT3G28960	0.54	0.283823013	0.734487241	MEG	22.63	4383	1.91	0.000472295	0.012475002	MEG	78.43	294.5	1.05	0.254454068	1	MEG	52.53	7742	0.000382947	4139.8	NA	NA	NA	NA	NA	NA	NA	6913
AT3G23240	4.02	0.001950193	0.028287771	MEG	94.17	782	NA	NA	NA	NA	NA	3896	2.55	0.34828925	1	MEG	86.71	7742	0.001643883	4140.0	NA	NA	NA	NA	NA	NA	NA	6913
AT1G31835	-0.93	0.103269814	0.482804481	PEG	46.31	2426.5	-0.55	0.221670816	0.768006374	PEG	23.34	2252.5	0.11	0.94355738	1	MEG	1.30	7742	0.933517087	4140.3	AT1G31835.1		0.94	0.292825038	0.375356849	MEG	46.91	10786
AT3G22750	1.26	0.001960242	0.028397226	MEG	61.34	783	NA	NA	NA	NA	NA	3896	0.50	0.396619663	1	MEG	19.87	7742	0.001855387	4140.3	NA	NA	1.62	8.34E-06	3.42E-05	MEG	72.32	3368
AT5G44370	1.05	0.158857373	0.584223578	MEG	52.65	3084.5	-0.76	0.130005502	0.633126797	PEG	36.45	1600	-0.59	0.670546041	1	PEG	26.06	7742	0.421291497	4142.2	AT5G44370.1	"phosphate transporter 4;6"	5.57	0.003730439	0.009081173	MEG	96.87	5679.5
AT1G26590	-2.70	0.002116936	0.030242319	PEG	87.93	794	NA	NA	NA	NA	NA	3896	0.38	0.834270827	1	MEG	12.69	7742	0.781469139	4144.0	AT1G26590.1	C2H2-like zinc finger protein	NA	NA	NA	NA	NA	6913
AT2G17510	-0.48	0.194181942	0.635489258	PEG	18.44	3465.5	0.45	0.082106849	0.524252169	MEG	16.53	1224.5	0.43	0.606369349	1	MEG	15.75	7742	0.1748839	4144.0	AT2G17510.1	ribonuclease II family protein	-0.74	0.186130413	0.261024353	PEG	35.59	9859
AT4G28260	2.08	0.002126474	0.030340369	MEG	81.21	795	NA	NA	NA	NA	NA	3896	0.50	0.355589313	1	MEG	20.10	7742	0.001809766	4144.3	AT4G28260.1		5.45	0.005743231	0.013336566	MEG	96.75	5954
AT1G70900	-1.19	0.010854299	0.114239995	PEG	58.67	1077.5	0.59	0.416508726	0.897769292	MEG	25.59	3615	-1.07	0.211461959	1	PEG	53.34	7742	0.760865376	4144.8	AT1G70900.1		1.15	0.012466096	0.026366261	MEG	56.95	6537
AT3G03260	-1.87	0.002144859	0.030525898	PEG	77.70	797	NA	NA	NA	NA	NA	3896	-0.99	0.407962321	1	PEG	49.65	7742	0.97742134	4145.0	NA	NA	-2.96	1.79E-12	1.51E-11	PEG	89.73	1636
AT2G42790	3.03	0.002184398	0.031049659	MEG	90.21	798	NA	NA	NA	NA	NA	3896	-0.51	0.785562224	1	PEG	20.42	7742	0.005516814	4145.3	NA	NA	1.87	5.22E-10	3.52E-09	MEG	77.73	2051
AT3G11964	1.09	0.043227094	0.299168737	MEG	54.32	1638	-0.37	0.335000757	0.854164233	PEG	12.16	3056	0.23	0.679320392	1	MEG	5.04	7742	0.116671388	4145.3	NA	NA	-1.16	0.001205065	0.003305799	PEG	57.36	5040
